n,seed,iter,ip_total_s,ip_solve_s,gurobi_runtime_s
32,2,37,7.622958,7.619593,7.605018
32,2,38,0.798928,0.796098,0.782106
32,2,39,3.865679,3.862294,3.853053
32,2,40,6.051229,6.048235,6.037442
32,2,41,1.315659,1.312902,1.292089
32,2,42,3.729210,3.726265,3.706114
32,2,43,3.832502,3.829630,3.817465
32,2,44,5.926010,5.923007,5.905839
32,2,45,3.554160,3.551123,3.538331
32,2,46,3.854098,3.851243,3.831716
32,2,47,4.261347,4.258419,4.247404
32,2,48,3.754796,3.752076,3.731776
32,2,49,8.213469,8.210734,8.193263
32,2,50,1.761471,1.758759,1.739387
32,2,51,3.666033,3.663077,3.652864
32,2,52,4.326347,4.323583,4.305330
32,2,53,4.246489,4.243768,4.223565
32,2,54,2.490191,2.487448,2.475548
32,2,55,0.754339,0.751588,0.731128
32,2,56,2.110327,2.107497,2.088513
32,2,57,4.836052,4.833364,4.816891
32,2,58,3.856708,3.854018,3.838263
32,2,59,0.960200,0.953489,0.931436
32,2,60,4.854246,4.849699,4.834843
32,2,61,2.968943,2.965653,2.950902
32,2,62,1.336156,1.333240,1.317869
32,2,63,4.986705,4.983942,4.971683
32,2,64,4.470993,4.467480,4.452765
32,2,65,5.487463,5.482911,5.463096
32,2,66,4.781419,4.777780,4.756468
32,2,67,9.939122,9.936172,9.914014
32,2,68,8.136965,8.133774,8.117100
32,2,69,8.712410,8.709334,8.698297
32,2,70,6.383602,6.380581,6.367977
32,2,71,6.699900,6.696627,6.686380
32,2,72,26.061959,26.058633,26.036412
32,2,73,6.099834,6.096650,6.082736
32,2,74,4.749351,4.746687,4.729641
32,2,75,21.356904,21.353734,21.332870
32,2,76,24.408912,24.405634,24.393280
32,2,77,5.945788,5.942833,5.928776
32,2,78,5.726232,5.723442,5.707502
32,2,79,5.191199,5.188469,5.177419
32,2,80,5.226686,5.223785,5.202818
32,2,81,1.314315,1.311709,1.294843
32,2,82,3.668449,3.662430,3.650501
32,2,83,7.259822,7.257070,7.240349
32,2,84,7.152222,7.149051,7.136960
32,2,85,4.091443,4.088495,4.071091
32,2,86,1.075095,1.072490,1.057525
32,2,87,2.117133,2.114350,2.105553
32,2,88,5.229074,5.226352,5.212475
32,2,89,16.617418,16.613973,16.598869
32,2,90,9.400221,9.397016,9.378821
32,2,91,9.040054,9.036819,9.021076
32,2,92,5.088819,5.085467,5.070398
32,2,93,15.450863,15.445893,15.429660
32,2,94,4.557597,4.553915,4.530926
32,2,95,4.121689,4.117620,4.105829
32,2,96,8.036043,8.033277,8.016478
32,2,97,4.637841,4.634837,4.614947
32,2,98,3.920013,3.917173,3.902573
32,2,99,7.768457,7.763700,7.751461
32,2,100,15.543057,15.539747,15.527600
32,2,101,8.207003,8.203796,8.192632
32,2,102,16.787083,16.782019,16.764424
32,2,103,12.124047,12.119742,12.094712
32,2,104,10.729142,10.725596,10.701899
32,2,105,14.390873,14.385201,14.371744
32,2,106,11.078160,11.073771,11.053482
32,2,107,12.628243,12.622978,12.603726
32,2,108,12.190300,12.186291,12.171720
32,2,109,7.587681,7.583454,7.561523
32,2,110,4.053845,4.050839,4.027361
32,2,111,5.548958,5.546064,5.529006
32,2,112,0.936690,0.933762,0.916229
32,2,113,4.995583,4.992631,4.983512
32,2,114,2.448530,2.445703,2.434743
32,2,115,10.939864,10.936907,10.925593
32,2,116,1.705555,1.702864,1.685274
32,2,117,6.241259,6.237641,6.216570
32,2,118,8.164236,8.161250,8.139571
32,2,119,10.091618,10.088625,10.071886
32,2,120,8.770933,8.767716,8.751340
32,2,121,9.904828,9.901797,9.887421
32,2,122,4.546999,4.543121,4.521145
32,2,123,14.703835,14.699786,14.685049
32,2,124,12.360115,12.356585,12.334318
32,2,125,5.899715,5.896774,5.884817
32,2,126,18.731004,18.727657,18.710046
32,2,127,8.815631,8.811205,8.796936
32,2,128,5.833738,5.830398,5.812100
32,2,129,7.618186,7.614999,7.604567
32,2,130,7.372522,7.369292,7.348386
32,2,131,28.700570,28.697339,28.680663
32,2,132,26.099029,26.090247,26.074221
32,2,133,4.916577,4.913223,4.895257
32,2,134,14.978588,14.975697,14.958358
32,2,135,2.180836,2.178132,2.159758
