county,prec_id,dId_birth,dId_city,dId_pct,co,precinct
Flathead,PREC 47,-0.8795089651954737,8.515571697522706e-4,-0.13226852574441156,Flathead,47
Flathead,PREC 48,-2.152919610700884,0.002638676384388111,-0.15115249585721774,Flathead,48
Flathead,PREC 49,-1.1012050331150596,0.0036000995921413592,-0.09962811001199046,Flathead,49
Flathead,PREC 50,-2.59924541170509,0,-0.22116441779110435,Flathead,50
Flathead,PREC 89,-0.47645150389205027,0,-0.15447154471544716,Flathead,89
Lake,ARL 1,-0.3645465059263697,0,-0.09293527120167816,Lake,1
Lake,BEA 1,0.09083070506263691,0,-0.09018737804389082,Lake,2
Lake,BEA 2,-0.4359348841895052,0,-0.08294314381270901,Lake,3
Lake,CHA 1,0.356797726423542,0,-0.1274861183921942,Lake,4
Lake,DAY 1,-1.9885368728231692,0,-0.16114520197266868,Lake,5
Lake,FER 1,-1.2722230842749296,0,-0.13045581130135075,Lake,6
Lake,POL 1,-1.91781401220913,0,-0.19599220549730295,Lake,7
Lake,POL 2,-1.3225832237245612,0,-0.11274792245355442,Lake,8
Lake,POL 3,-2.733763452564693,0,-0.1709797362880225,Lake,9
Lake,POL 4,-0.6451204067993679,-0.012133535689886843,-0.18314017370035257,Lake,10
Lake,POL 5,-2.74152198480946,-0.011818628643178175,-0.18064399996704134,Lake,11
Lake,POL 6,-0.2534158405295259,0,-0.20899185236085205,Lake,12
Lake,POL 7,-3.2837069434081725,0,-0.15801965955406377,Lake,13
Lake,POL 8,-9.713603424486381,0,-0.2518740629685158,Lake,14
Lake,RON 1,-0.20195509891328367,-0.02131484758841634,-0.15465514896570481,Lake,15
Lake,RON 2,-0.7716934183136073,0,-0.1742782940877745,Lake,16
Lake,STI 1,-2.8101537826049556,0,-0.16843000992766977,Lake,17
Lake,STI 2,-0.5945241216199224,-0.05846044515864207,-0.14206620332194614,Lake,18
Lake,SWA 1,0.4951067740555941,0,0.0037399309551207627,Lake,19
Lake,SWA 2,-0.43868734998098846,0,-0.08507089241034199,Lake,20
Park,59A NPC,-0.3023038131210556,6.834133399010178e-4,-0.07851998747521138,Park,1
Park,59B NCP,-0.6576164944648246,0,-0.14180846648682294,Park,2
Park,59C SCP,-0.03844111357216029,0,-0.045827855321008304,Park,3
Park,59D SPC,-0.03204258801166482,0,-0.145885641309848,Park,4
Park,60A NOL,-1.3040857967918915,0,-0.10310508102216875,Park,5
Park,60B SOL,-1.4517910891255554,0,-0.19164219332036558,Park,6
Park,60CL NW,-2.161025104316062,0,-0.1662232520883397,Park,7
Park,60DL NE,-1.144222557475791,0,-0.1989480169567896,Park,8
Park,60EL SE,-0.5025701189437268,0,-0.11649732804293472,Park,9
Park,60FL SC,-3.0380001722315466,0,-0.16727272727272724,Park,10
Park,60GL SW,0.20025985852073136,0,-0.1391843930393849,Park,11
Sheridan,1_PREC,-3.772275801593166,-0.015277750541992152,-0.25259740259740265,Sheridan,1
Sheridan,2_PREC,-3.6844666448169114,-0.03989059037837259,-0.24054852640351543,Sheridan,2
Sheridan,3_PREC,-1.7781334129114574,0,-0.2811638168781026,Sheridan,3
Sheridan,4_PREC,-0.15706100735144402,0,-0.12442310598574763,Sheridan,4
Sheridan,5_PREC,-4.768223397780824,-0.09892601908412182,-0.2069154586888729,Sheridan,5
Sheridan,6_PREC,-5.2439484616076,0,-0.28822055137844615,Sheridan,6
Stillwater,PREC_1,-1.9686939342428942,-0.012580005039114661,-0.1454680179894084,Stillwater,1
Stillwater,PREC_10,0.9758609861833151,0,-0.11298798798798798,Stillwater,6
Stillwater,PREC_11,0.5055722453547622,0,-0.049145600903827136,Stillwater,7
Stillwater,PREC_13,-1.049064933893097,0,-0.11493952385931883,Stillwater,8
Stillwater,PREC_2,-2.196775787536046,0,-0.19987475995658338,Stillwater,2
Stillwater,PREC_4,0.6133573020259,0,-0.08122526243331607,Stillwater,3
Stillwater,PREC_7,-3.2522716494493324,0,-0.0745564787783517,Stillwater,4
Stillwater,PREC_9,0.24030487295917102,0,-0.09117647058823536,Stillwater,5
