year,county,precinct,method,voteD,voteR
2014,Flathead,89,polls,39,146
2014,Park,1,absent,67,162
2014,Park,1,polls,121,298
2014,Park,2,absent,214,273
2014,Park,2,polls,114,288
2014,Park,3,absent,124,136
2014,Park,3,polls,117,295
2014,Park,4,absent,126,119
2014,Park,4,polls,154,191
2014,Park,5,absent,132,151
2014,Park,5,polls,94,209
2014,Park,6,absent,81,132
2014,Park,6,polls,112,174
2014,Park,7,absent,106,139
2014,Park,7,polls,126,41
2014,Park,8,absent,131,96
2014,Park,8,polls,133,160
2014,Park,9,absent,116,65
2014,Park,9,polls,164,112
2014,Park,10,absent,146,63
2014,Park,10,polls,155,6
2014,Park,11,absent,144,108
2014,Park,11,polls,179,151
2014,Sheridan,1,absent,12,33
2014,Sheridan,1,polls,10,68
2014,Sheridan,2,absent,63,78
2014,Sheridan,2,polls,33,76
2014,Sheridan,3,absent,63,79
2014,Sheridan,3,polls,36,81
2014,Sheridan,4,absent,68,111
2014,Sheridan,4,polls,48,129
2014,Sheridan,5,absent,32,69
2014,Sheridan,5,polls,10,53
2014,Sheridan,6,absent,30,52
2014,Sheridan,6,polls,25,50
2014,Stillwater,1,absent,221,705
2014,Stillwater,1,polls,168,438
2014,Stillwater,2,absent,118,310
2014,Stillwater,2,polls,121,272
2014,Stillwater,3,absent,15,59
2014,Stillwater,3,polls,20,43
2014,Stillwater,4,absent,7,37
2014,Stillwater,4,polls,2,15
2014,Stillwater,5,absent,13,60
2014,Stillwater,5,polls,10,38
2014,Stillwater,6,absent,22,45
2014,Stillwater,6,polls,18,21
2014,Stillwater,7,absent,34,69
2014,Stillwater,7,polls,15,31
2014,Stillwater,8,absent,96,321
2014,Stillwater,8,polls,84,159
2016,Flathead,1,absent,152,181
2016,Flathead,1,polls,80,173
2016,Flathead,2,absent,250,259
2016,Flathead,2,polls,104,195
2016,Flathead,3,absent,233,275
2016,Flathead,3,polls,117,216
2016,Flathead,4,absent,276,266
2016,Flathead,4,polls,141,261
2016,Flathead,5,absent,210,424
2016,Flathead,5,polls,115,332
2016,Flathead,6,absent,520,986
2016,Flathead,6,polls,154,656
2016,Flathead,7,absent,195,411
2016,Flathead,7,polls,87,308
2016,Flathead,8,absent,118,316
2016,Flathead,8,polls,53,287
2016,Flathead,11,absent,127,386
2016,Flathead,11,polls,115,389
2016,Flathead,13,absent,221,524
2016,Flathead,13,polls,156,485
2016,Flathead,14,absent,106,227
2016,Flathead,14,polls,53,208
2016,Flathead,15,absent,104,350
2016,Flathead,15,polls,101,355
2016,Flathead,16,absent,222,243
2016,Flathead,16,polls,169,281
2016,Flathead,17,absent,91,90
2016,Flathead,17,polls,47,52
2016,Flathead,18,absent,274,405
2016,Flathead,18,polls,193,466
