Party7,Type,c_party,estimate,se,q2.5,q97.5,median,mean,gt0,lt0,NAs,Nsim
Rep,D+ vs. V-,R,0.8626985067630657,0.029525195427237565,0.8005322682927346,0.9170326079795281,0.8641058388826042,0.8632289625643521,1,0,0,1000
Rep,V- vs. D+,D,0.8626985067630657,0.029525195427237565,0.8005322682927346,0.9170326079795281,0.8641058388826042,0.8632289625643521,1,0,0,1000
Rep,V- vs. D+,R,0.3278463908879752,0.0424522323850083,0.24436132298637267,0.4112492791408247,0.32666837178043173,0.3272012126892334,1,0,0,1000
"Strong
Rep",D+ vs. D+,D,0.711922661992746,0.022297376980799102,0.6662065566819508,0.7525732934398369,0.7119414337601601,0.711892808461869,1,0,0,1000
"Strong
Rep",D+ vs. D+,R,0.711922661992746,0.022297376980799102,0.6662065566819508,0.7525732934398369,0.7119414337601601,0.711892808461869,1,0,0,1000
"Strong
Rep",D- vs. D+,D,0.8421518817672629,0.01850914838887708,0.8058531784529345,0.8773670605668903,0.8423642693343684,0.8422844050444643,1,0,0,1000
"Strong
Rep",D- vs. D+,R,0.6511440557448137,0.022053656851428474,0.6113099830573011,0.694794852253466,0.6529361456226374,0.6527753632856926,1,0,0,1000
"Strong
Rep",D+ vs. D-,D,0.6511440557448137,0.022053656851428474,0.6113099830573011,0.694794852253466,0.6529361456226374,0.6527753632856926,1,0,0,1000
"Strong
Rep",D+ vs. D-,R,0.8421518817672629,0.01850914838887708,0.8058531784529345,0.8773670605668903,0.8423642693343684,0.8422844050444643,1,0,0,1000
"Strong
Rep",D+ vs. V-,D,0.586173765874563,0.04033656409050697,0.510958175354019,0.6612447115617469,0.5878973005459982,0.5874005198945621,1,0,0,1000
"Strong
Rep",D+ vs. V-,R,0.7938812762425705,0.035911479608953314,0.720797235554634,0.8582464199125186,0.7973762793100598,0.7948044194429086,1,0,0,1000
"Strong
Rep",V- vs. D+,D,0.7938812762425705,0.035911479608953314,0.720797235554634,0.8582464199125186,0.7973762793100598,0.7948044194429086,1,0,0,1000
"Strong
Rep",V- vs. D+,R,0.586173765874563,0.04033656409050697,0.510958175354019,0.6612447115617469,0.5878973005459982,0.5874005198945621,1,0,0,1000
