Party7,Type,c_party,estimate,se,q2.5,q97.5,median,mean,gt0,lt0,NAs,Nsim
Indep,D- vs. D+,R,0.3878435607679305,0.02596875806264249,0.34035489327582336,0.4413640124276411,0.3879562713168841,0.388872156839204,1,0,0,1000
Indep,D+ vs. D-,D,0.3878435607679305,0.02596875806264249,0.34035489327582336,0.4413640124276411,0.3879562713168841,0.388872156839204,1,0,0,1000
Indep,D+ vs. D-,R,0.5966234721865543,0.02816187791031429,0.5400659496922963,0.6507116411067144,0.5959404783724727,0.5966374541461419,1,0,0,1000
Indep,D+ vs. V-,D,0.37046190610089497,0.04916824383746893,0.27768464320392133,0.46736823484661033,0.36904071909658187,0.36903136907575834,1,0,0,1000
Indep,D+ vs. V-,R,0.6954124954550579,0.041998590805964034,0.6103448191405227,0.7757616135910294,0.6959698001106924,0.6951707182742273,1,0,0,1000
Indep,V- vs. D+,D,0.6954124954550579,0.041998590805964034,0.6103448191405227,0.7757616135910294,0.6959698001106924,0.6951707182742273,1,0,0,1000
Indep,V- vs. D+,R,0.37046190610089497,0.04916824383746893,0.27768464320392133,0.46736823484661033,0.36904071909658187,0.36903136907575834,1,0,0,1000
"Lean
Rep",D+ vs. D+,D,0.5765333662935282,0.03602928247645333,0.5086815982268522,0.648437403170174,0.5753042020216164,0.5763172731637914,1,0,0,1000
"Lean
Rep",D+ vs. D+,R,0.5765333662935282,0.03602928247645333,0.5086815982268522,0.648437403170174,0.5753042020216164,0.5763172731637914,1,0,0,1000
"Lean
Rep",D- vs. D+,D,0.7001284903639182,0.03977955308171604,0.6188318487494913,0.7786143031823056,0.6983181187893155,0.6997796707443017,1,0,0,1000
"Lean
Rep",D- vs. D+,R,0.47363775042919903,0.03525479769493276,0.40747072788340655,0.5423521312960159,0.4733299512741887,0.472522802908823,1,0,0,1000
"Lean
Rep",D+ vs. D-,D,0.47363775042919903,0.03525479769493276,0.40747072788340655,0.5423521312960159,0.4733299512741887,0.472522802908823,1,0,0,1000
"Lean
Rep",D+ vs. D-,R,0.7001284903639182,0.03977955308171604,0.6188318487494913,0.7786143031823056,0.6983181187893155,0.6997796707443017,1,0,0,1000
"Lean
Rep",D+ vs. V-,D,0.2806132704352813,0.05604387753648739,0.17758348669676785,0.3981679585890424,0.2808316294222941,0.2803866129106162,1,0,0,1000
"Lean
Rep",D+ vs. V-,R,0.8458009074113423,0.04719218046526759,0.7470981543371159,0.9238044677722452,0.846941833907982,0.8441741468013343,1,0,0,1000
"Lean
Rep",V- vs. D+,D,0.8458009074113423,0.04719218046526759,0.7470981543371159,0.9238044677722452,0.846941833907982,0.8441741468013343,1,0,0,1000
"Lean
Rep",V- vs. D+,R,0.2806132704352813,0.05604387753648739,0.17758348669676785,0.3981679585890424,0.2808316294222941,0.2803866129106162,1,0,0,1000
Rep,D+ vs. D+,D,0.5991918154080241,0.027776858919494864,0.5429875537820507,0.6530717911830348,0.5994519228965682,0.5984768399232325,1,0,0,1000
Rep,D+ vs. D+,R,0.5991918154080241,0.027776858919494864,0.5429875537820507,0.6530717911830348,0.5994519228965682,0.5984768399232325,1,0,0,1000
Rep,D- vs. D+,D,0.7059561765056179,0.027845015581996046,0.6543012834279566,0.7595925569658918,0.7045513244961402,0.7051948500221377,1,0,0,1000
Rep,D- vs. D+,R,0.4646949865744816,0.027629637499445348,0.4125887950045045,0.5206601270946887,0.46493829744212123,0.46566088513517384,1,0,0,1000
Rep,D+ vs. D-,D,0.4646949865744816,0.027629637499445348,0.4125887950045045,0.5206601270946887,0.46493829744212123,0.46566088513517384,1,0,0,1000
Rep,D+ vs. D-,R,0.7059561765056179,0.027845015581996046,0.6543012834279566,0.7595925569658918,0.7045513244961402,0.7051948500221377,1,0,0,1000
Rep,D+ vs. V-,D,0.3278463908879752,0.0424522323850083,0.24436132298637267,0.4112492791408247,0.32666837178043173,0.3272012126892334,1,0,0,1000
