Type,m_dem_code,Measure,Transformation,value,estimate,se,q2.5,q97.5,median,mean,gt0,lt0,NAs,Nsim
D+ vs. D+,Generic,Policy Rating,Squared,0.5,0.7634068962154134,0.014563279290771872,0.7346089786973647,0.7898739893975718,0.7634734330317692,0.7631914856711314,1,0,0,1000
D+ vs. D+,Generic,Policy Rating,Squared,0.7,0.8607879651971979,0.027934146461087276,0.800228343635717,0.9110680728976318,0.8614993250730514,0.8600898376596059,1,0,0,1000
D+ vs. D+,Generic,Policy Rating,Squared,0.9,0.8698818158548678,0.03272719791716062,0.8026346927726679,0.9286034375029862,0.8719669242541255,0.8700728874757473,1,0,0,1000
D+ vs. D+,Generic,Spatial Distance,Absolute,-0.9,0.19933547971942267,0.07067394870893288,0.071355386075179,0.34192738189028254,0.19356711318347025,0.19685436171463672,1,0,0,1000
D+ vs. D+,Generic,Spatial Distance,Absolute,-0.7,0.23615943791702615,0.03140375850944793,0.18149539069832182,0.303491014926882,0.23724946396635305,0.2377443215962426,1,0,0,1000
D+ vs. D+,Generic,Spatial Distance,Absolute,-0.5,0.2963426892395749,0.020389288405532197,0.258604423542977,0.3359995529070553,0.2971115646106141,0.2971733725773024,1,0,0,1000
D+ vs. D+,Generic,Spatial Distance,Absolute,-0.3,0.34996076500462964,0.013912460223964184,0.32421785867778724,0.37785773097446174,0.3500653653751889,0.35017342493069287,1,0,0,1000
D+ vs. D+,Generic,Spatial Distance,Absolute,-0.1,0.467397806500121,0.008748653063839235,0.44994740977234465,0.4832273715562989,0.46733476317745937,0.4673588321593951,1,0,0,1000
D+ vs. D+,Generic,Spatial Distance,Absolute,0.1,0.5326021934998788,0.008748653063839238,0.5167726284437011,0.5500525902276554,0.5326652368225406,0.5326411678406049,1,0,0,1000
D+ vs. D+,Generic,Spatial Distance,Absolute,0.3,0.6500392349953703,0.013912460223964184,0.6221422690255383,0.6757821413222127,0.6499346346248112,0.6498265750693072,1,0,0,1000
D+ vs. D+,Generic,Spatial Distance,Absolute,0.5,0.703657310760425,0.020389288405532197,0.6640004470929448,0.741395576457023,0.7028884353893858,0.7028266274226975,1,0,0,1000
