Type,Measure,Transformation,value,Stat,estimate,se,q2.5,q97.5,median,mean,gt0,lt0,NAs,Nsim,estimate_reg,std.error,statistic,p.value,conf.low,conf.high,df,outcome
D+ vs. D+,Policy Rating,Absolute,0.7,Mean,0.8558993530795923,0.027563156925427264,0.7973907032139248,0.9064363068467948,0.8562965762930022,0.855462661134983,1,0,0,1000,0.8558993530795931,0.02765681525328769,30.947140704418178,5.3012890848336246e-48,0.8009090553446787,0.9108896508145075,84.87816030146361,c_win
D+ vs. D+,Policy Rating,Absolute,0.9,Mean,0.8872807932259298,0.029188502835703158,0.8275578436826236,0.9401392553190275,0.889148890326643,0.8877534120329268,1,0,0,1000,0.8872807932259292,0.029591554860818412,29.984257244987152,1.7538481359891441e-34,0.8279005093674512,0.9466610770844073,51.982168649948946,c_win
D+ vs. D+,Policy Rating,Squared,-0.9,Mean,0.13011818414513207,0.03272719791716062,0.07139656249701368,0.19736530722733217,0.12803307574587452,0.12992711252425276,1,0,0,1000,0.13011818414513204,0.03245426235915498,4.009278741423225,2.0155242690287424e-4,0.06494395501906758,0.1952924132711965,50.37670503120929,c_win
D+ vs. D+,Policy Rating,Squared,-0.7,Mean,0.13921203480280203,0.027934146461087276,0.08893192710236826,0.1997716563642828,0.1385006749269485,0.13991016234039416,1,0,0,1000,0.13921203480280203,0.02788398235847078,4.992544931822168,3.98264249926668e-6,0.08363065444541129,0.19479341516019277,72.32924229081577,c_win
D+ vs. D+,Policy Rating,Squared,-0.5,Mean,0.23659310378458662,0.014563279290771869,0.21012601060242808,0.2653910213026352,0.23652656696823077,0.23680851432886865,1,0,0,1000,0.23659310378458687,0.014249042953088981,16.604139980734423,1.1648372491836374e-44,0.20855528219526615,0.2646309253739076,307.8978292631656,c_win
D+ vs. D+,Policy Rating,Squared,-0.3,Mean,0.29835077782165886,0.014216910597773729,0.2695480142543903,0.327374499110652,0.2976388054667666,0.29785469567310363,1,0,0,1000,0.29835077782165914,0.014646059388801171,20.3707201986213,2.1146827820721392e-63,0.26955594291211243,0.32714561273120585,391.19889419681783,c_win
D+ vs. D+,Policy Rating,Squared,-0.1,Mean,0.44126508459642716,0.009034828051402832,0.4233659003702699,0.4586454160376867,0.44136280925985627,0.4416053035116541,1,0,0,1000,0.4412650845964297,0.009245409043706888,47.728021822548506,1.639110796276004e-208,0.4231085290108268,0.45942164018203263,612.349742353187,c_win
D+ vs. D+,Policy Rating,Squared,0.1,Mean,0.5587349154035729,0.00903482805140283,0.5413545839623132,0.5766340996297301,0.5586371907401437,0.5583946964883458,1,0,0,1000,0.5587349154035769,0.009245409043706888,60.43376910228687,2.9772318873578968e-260,0.540578359817974,0.5768914709891798,612.349742353187,c_win
D+ vs. D+,Policy Rating,Squared,0.3,Mean,0.7016492221783411,0.014216910597773729,0.672625500889348,0.7304519857456097,0.7023611945332335,0.7021453043268964,1,0,0,1000,0.7016492221783442,0.01464605938880118,47.90703106904281,9.350164601335182e-166,0.6728543872687975,0.730444057087891,391.19889419681783,c_win
D+ vs. D+,Policy Rating,Squared,0.5,Mean,0.7634068962154134,0.014563279290771872,0.7346089786973647,0.7898739893975718,0.7634734330317692,0.7631914856711314,1,0,0,1000,0.7634068962154119,0.014249042953088981,53.576011998049076,4.055397525895137e-158,0.7353690746260911,0.7914447178047327,307.8978292631656,c_win
