variable,value,term,estimate,se,q2.5,q97.5,median,mean,gt0,lt0,NAs,Nsim
Education,Some college,diff_dem_type_u,-0.12135317339510611,0.01722717613350943,-0.15398957891961573,-0.08881071403114657,-0.12128181381502462,-0.12135722994738704,0,1,0,1000
Education,Some college,diff_dem_type_v,-0.18182459947423016,0.022056853402449547,-0.22722733808515497,-0.14091986934393175,-0.1812831341599513,-0.18183214553523375,0,1,0,1000
race,Asian or Pacific Islander,(Intercept),0.5000000000000046,0.029987943135246643,0.44576377008487744,0.5635601903259251,0.5026568726171635,0.5023410470917488,1,0,0,1000
race,Asian or Pacific Islander,diff_dem_type_u,-0.10687279771584349,0.04152779392222205,-0.18930544027125695,-0.02708045741866859,-0.10881476063743023,-0.10958424718025155,0.002,0.998,0,1000
race,Asian or Pacific Islander,diff_dem_type_v,-0.12977997711279834,0.05637508572250202,-0.24194174135593732,-0.023450540735736835,-0.13390423901215193,-0.1325304800028564,0.012,0.988,0,1000
race,Black,(Intercept),0.5000000000000007,0.021666477070808488,0.45529086846615563,0.5411618108603448,0.5014684268016165,0.5002913926325651,1,0,0,1000
race,Black,diff_dem_type_u,-0.1242017902919298,0.025659274437849423,-0.17500946869165374,-0.07325297093499218,-0.12558253348207774,-0.12496038301495381,0,1,0,1000
race,Black,diff_dem_type_v,-0.19739452292101672,0.03765496434638455,-0.271238169344681,-0.1277861420355863,-0.1996836320677627,-0.1991549529041779,0,1,0,1000
race,Other,(Intercept),0.5000000000000024,0.027100835655208412,0.4469851633399808,0.5514355435541157,0.49945674208036916,0.49932793804401726,1,0,0,1000
race,Other,diff_dem_type_u,-0.13085105591021942,0.0344404201932923,-0.19723531380910023,-0.06710211106984491,-0.12763130758000338,-0.12921676945870839,0,1,0,1000
race,Other,diff_dem_type_v,-0.19695908971697193,0.043560651197193566,-0.278727293218054,-0.10692634706665474,-0.1946746290848858,-0.19478526225768944,0,1,0,1000
race,Prefer not to answer,(Intercept),0.500000000000001,0.054848296359510516,0.38747159090909167,0.6058035714285737,0.5000000000000006,0.4997069419830106,1,0,0,1000
race,Prefer not to answer,diff_dem_type_u,-0.046052631578947414,0.06436873521140579,-0.18081724218301726,0.07995221413924404,-0.04545454545454539,-0.04603594538890842,0.234,0.766,0,1000
race,Prefer not to answer,diff_dem_type_v,-0.113636363636363,0.08028724401755072,-0.27002083333333365,0.03754934210526309,-0.1101470588235293,-0.110822266083383,0.08,0.92,0,1000
race,White,(Intercept),0.5000000000000253,0.007919799399282609,0.4842786510045302,0.5146043238090925,0.4995226968961872,0.499613615294039,1,0,0,1000
race,White,diff_dem_type_u,-0.11721408583882988,0.01032749755425628,-0.13631489607919886,-0.09650589711498955,-0.1166847544477389,-0.11664572431665013,0,1,0,1000
race,White,diff_dem_type_v,-0.19049029959696825,0.012788639112057073,-0.21478609323141853,-0.16581697042887306,-0.18975658591417638,-0.18983984580899974,0,1,0,1000
hispanic,No,(Intercept),0.500000000000067,0.007198440502322106,0.4860470223704692,0.5140126770761204,0.49989987381309486,0.49994985623310645,1,0,0,1000
hispanic,No,diff_dem_type_u,-0.11876628676975355,0.009425789006980987,-0.1375179629952201,-0.1006732848236402,-0.11851315687950156,-0.11856195033655345,0,1,0,1000
hispanic,No,diff_dem_type_v,-0.19641083789872546,0.011819838851511152,-0.2195668602618057,-0.17336632619968925,-0.1959937465190219,-0.19637761998210745,0,1,0,1000
hispanic,Prefer not to answer,(Intercept),0.5000000000000013,0.05934564688149394,0.3846153846153842,0.6176664086687328,0.5000000000000007,0.5017763689868102,1,0,0,1000
hispanic,Prefer not to answer,diff_dem_type_u,0.003759398496240603,0.07591066290261682,-0.15629292582417614,0.15822704081632602,0.002981366459627411,1.9851511638695592e-4,0.517,0.483,0,1000
hispanic,Prefer not to answer,diff_dem_type_v,-0.13157894736842105,0.09529569951320656,-0.32293198529411893,0.046329365079363305,-0.13235294117647003,-0.13352268919162122,0.079,0.921,0,1000
hispanic,Yes,(Intercept),0.4999999999999907,0.02262989193777988,0.45398021611626466,0.5450036487163147,0.49842512713411313,0.4983179858571319,1,0,0,1000
hispanic,Yes,diff_dem_type_u,-0.11906174032201043,0.02850772595194858,-0.1746897950465301,-0.06340100420834496,-0.11776352204887758,-0.11757532240001091,0,1,0,1000
hispanic,Yes,diff_dem_type_v,-0.12293365824647728,0.04029267642631101,-0.19990215311316695,-0.039702205315222866,-0.121631603133693,-0.1205371072716085,0.001,0.999,0,1000
hhi_cut,"[0,25)",(Intercept),0.4999999999999995,0.01328111240334585,0.473077139547346,0.525526265445901,0.49987980565598056,0.4996694528099305,1,0,0,1000
hhi_cut,"[0,25)",diff_dem_type_u,-0.10670767223214908,0.017431445667058284,-0.13939747531646837,-0.07019681503376352,-0.10678983326293319,-0.10630525310457684,0,1,0,1000
hhi_cut,"[0,25)",diff_dem_type_v,-0.1823502525959553,0.023032316166443238,-0.22600558041834826,-0.13253926445072373,-0.18279082843796873,-0.18159032077739118,0,1,0,1000
hhi_cut,"[100,200)",(Intercept),0.49999999999998346,0.020512138570633495,0.45850075964353804,0.5395684892921526,0.5003777688804685,0.49998623213332366,1,0,0,1000
hhi_cut,"[100,200)",diff_dem_type_u,-0.14688843758797554,0.027013022467097254,-0.19682810449912466,-0.09399847176084532,-0.1461204606236881,-0.14650060433094902,0,1,0,1000
hhi_cut,"[100,200)",diff_dem_type_v,-0.24270554965600377,0.03270484589014312,-0.30535932320599884,-0.17397320579710182,-0.24251053448359977,-0.2417563569716791,0,1,0,1000
hhi_cut,"[200,201)",(Intercept),0.49999999999999983,0.10186844164871034,0.3124999999999997,0.7002083333333332,0.5000000000000002,0.5007592658770968,1,0,0,1000
hhi_cut,"[200,201)",diff_dem_type_u,-0.15306122448979592,0.12496004442572022,-0.3827295918367348,0.09378720238095206,-0.1566964285714284,-0.15400796696592392,0.106,0.894,0,1000
hhi_cut,"[200,201)",diff_dem_type_v,-0.14285714285714252,0.20738941120122292,-0.5508333333333335,0.2500000000000002,-0.16666666666666616,-0.1560442085488041,0.214,0.784,0,1000
hhi_cut,"[25,50)",(Intercept),0.49999999999997585,0.010874209724674682,0.47945750315580693,0.5208110147157712,0.49954548414242406,0.4997165909993729,1,0,0,1000
