"","V1","V2"
"502",1325723,7
"503",1327511,6
"504",1328954,8
"505",1330019,7
"506",1331175,1
"507",1331439,13
"508",1332580,13
"509",1333120,15
"510",1334086,18
"511",1334953,2
"512",1335713,1
"513",1335812,3
"514",1337567,0
"515",1337843,0
"516",1338643,28
"517",1340164,7
"518",1340735,6
"519",1341198,14
"520",1341893,7
"521",13204725,3
"522",13204936,25
"523",13206237,5
"524",13207390,2
"525",13210604,4
"526",13211801,9
"527",13213580,7
"528",13213684,9
"529",13213765,0
"530",13215357,21
"531",13219668,14
"532",13219836,11
"533",13221292,0
"534",13223278,1
"535",13223965,8
"536",13225480,5
"537",13227051,15
"538",13227697,2
"539",13227835,0
"540",13228843,10
"541",13229282,18
"542",13232225,2
"543",13234671,6
"544",13235001,5
"545",13235373,4
"546",13236235,4
"547",13239908,1
"548",13239911,6
"549",13241668,8
"550",13241838,1
"551",13243766,2
"552",13244938,14
"553",13245281,1
"554",13248236,4
"555",13249247,0
"556",13249981,3
"557",13250014,3
"558",13250708,0
"559",13250724,2
"560",13251623,2
"561",13252571,4
"562",13252947,2
"563",13253841,0
"564",13256427,1
"565",13257639,6
"566",13260597,5
"567",13261466,5
"568",13262775,11
"569",13263909,0
"570",13268621,4
"571",13270163,24
"572",13271956,1
"573",13275285,0
"574",13276086,5
"575",13280184,4
"576",13283664,0
"577",13284354,1
"578",13286688,0
"579",13287044,6
"580",13287616,0
"581",13288807,4
"582",13292583,2
"583",13292724,0
"584",13293890,0
"585",13294290,9
"586",13298416,11
"587",13298839,15
"588",13298954,3
"589",13299905,0
"590",13300039,0
"591",13300860,3
"592",13300884,1
"593",13300923,0
"594",13302776,0
"595",13303356,1
"596",13306226,2
"597",13307499,1
"598",13308305,0
"599",13309674,5
"600",13310094,17
"601",13310248,2
"602",13310977,0
"603",13311677,1
"604",13314309,0
"605",13316079,3
"606",13323055,5
"607",13325353,0
"608",13326351,2
"609",13326662,1
"610",13326887,6
"611",13327351,4
"612",13327980,1
"613",13329121,0
"614",13335122,5
"615",13335495,2
"616",13335587,10
"617",13335794,8
"618",13337093,5
"619",13339211,2
"620",13342221,3
"621",13343354,0
"622",13344429,7
"623",13344459,2
"624",13347240,1
"625",13357322,3
"626",13357994,4
"627",13360241,6
"628",13363780,9
"629",13371556,9
"630",13375350,2
"631",13375705,6
"632",13377700,5
"633",13380439,5
"634",13381779,4
"635",13382417,7
"636",13382723,15
"637",13383453,12
"638",13385010,2
"639",13387043,4
"640",13387510,13
"641",13387745,6
"642",13387975,3
"643",13389839,5
"644",13390962,21
"645",13397775,1
"646",13405649,73
"647",13408260,9
"648",13410361,4
"649",13413691,2
"650",13414741,10
"651",13419103,9
"652",13420976,13
"653",13421139,5
"654",13424781,3
"655",13425471,8
"656",13426351,6
"657",13427164,15
"658",13427395,11
"659",13427646,4
"660",13430631,12
"661",13432464,3
"662",13432521,5
"663",13435705,1
"664",13435760,5
"665",13437783,4
"666",13438444,4
"667",13440637,0
"668",13442485,4
"669",13444034,3
"670",13445450,0
"671",13445543,9
"672",13445569,16
"673",13450439,2
"674",13451967,8
"675",13454165,12
"676",13454830,6
"677",13455734,0
"678",13459388,14
"679",13460423,8
"680",13463939,3
"681",13464042,11
"682",13464230,10
"683",13465303,5
"684",13468222,4
"685",13469753,5
"686",13471372,11
"687",13471651,1
"688",13471867,4
"689",13478562,11
"690",13480546,4
"691",13486337,3
"692",13486493,4
"693",13486612,8
"694",13487499,1
"695",13487973,0
"696",13493162,8
"697",13495433,7
"698",13495683,3
"699",13495950,2
"700",13497312,2
"701",13498360,2
"702",13502372,4
"703",13502620,4
"704",13503877,4
"705",13504820,7
"706",13506136,8
"707",13507999,9
"708",13510840,20
"709",13512710,1
"710",13515586,3
"711",13517651,1
"712",13520289,1
"713",13520596,4
"714",13522811,13
"715",13525799,11
"716",13534408,1
"717",13535167,8
"718",13544743,26
"719",13547367,5
"720",13552115,0
"721",1343106,1
"722",1348877,7
"723",1351014,6
"724",1352530,0
"725",1353148,5
"726",1353520,2
"727",1353870,3
"728",1354159,10
"729",1355551,2
"730",1357638,19
"731",1360953,2
"732",1361628,8
"733",1363515,7
"734",1364091,12
"735",1368204,0
"736",1369593,4
"737",1369648,11
"738",1373239,6
"739",1373813,11
"740",1375448,8
"741",13558533,18
"742",13558734,2
"743",13558971,2
"744",13560761,3
"745",13567326,1
"746",13567553,4
"747",13577444,6
"748",13577799,1
"749",13578736,4
"750",13579105,3
"751",13579823,3
"752",13580762,3
"753",13584558,3
"754",13593043,9
"755",13596731,4
"756",13603644,43
"757",13604488,2
"758",13607556,0
"759",13609437,4
"760",13609513,3
"761",13610996,15
"762",13615475,10
"763",13619030,4
"764",13624892,1
"765",13625117,12
"766",13626270,0
"767",13631862,9
"768",13633913,5
"769",13637114,10
"770",13637280,5
"771",13638701,3
"772",13639551,11
"773",13641768,8
"774",13649393,0
"775",13649694,1
"776",13655408,9
"777",13656311,2
"778",13657046,0
"779",13658079,2
"780",13662539,7
"781",13665008,5
"782",13665691,1
"783",13666218,5
"784",13667146,9
"785",13667961,1
"786",13667965,0
"787",13668164,3
"788",13669189,8
"789",13672253,5
"790",13672285,0
"791",13675014,10
"792",13675524,6
"793",13675847,4
"794",13678437,8
"795",13679249,7
"796",13681209,8
"797",13686111,8
"798",13686539,5
"799",13686727,14
"800",13687127,8
"801",13687672,10
"802",13689668,1
"803",13694534,0
"804",13696470,6
"805",13703357,19
"806",13703462,0
"807",13704875,8
"808",13705864,5
"809",13707136,9
"810",13707645,4
"811",13708829,9
"812",13709902,9
"813",13715270,14
"814",13717096,1
"815",13721981,8
"816",13723839,7
"817",13725280,11
"818",13725886,1
"819",13726641,6
"820",13731960,1
"821",13732048,17
"822",13732150,11
"823",13732183,6
