"","V1","V2"
"1438",14571211,9
"1439",14573516,36
"1440",14574337,0
"1441",14574925,5
"1442",14575986,13
"1443",14577644,3
"1444",14577866,39
"1445",14578504,0
"1446",14578873,18
"1447",14579832,3
"1448",14580293,0
"1449",14582069,51
"1450",14582444,0
"1451",14582527,11
"1452",14583309,0
"1453",14583750,4
"1454",14584515,0
"1455",14585030,0
"1456",14585268,1
"1457",14586558,10
"1458",14586713,0
"1459",14587039,7
"1460",14587326,0
"1461",14587558,15
"1462",14587866,0
"1463",14588165,2
"1464",14588546,2
"1465",14589621,2
"1466",14589816,1
"1467",14590903,7
"1468",14590959,1
"1469",14592716,7
"1470",14592774,27
"1471",14593878,0
"1472",14594435,5
"1473",14594932,13
"1474",14595418,25
"1475",14596133,1
"1476",14597273,2
"1477",14597316,1
"1478",14597675,1
"1479",14599428,15
"1480",14599967,0
"1481",14602706,0
"1482",14606555,2
"1483",14606950,0
"1484",14607960,7
"1485",14608203,19
"1486",14609233,1
"1487",14610120,1
"1488",14611062,1
"1489",14611676,2
"1490",14611726,2
"1491",14613505,6
"1492",14615218,0
"1493",14616392,20
"1494",14618885,3
"1495",14619710,36
"1496",14620371,5
"1497",14620475,5
"1498",14620788,130
"1499",14622493,1
"1500",14624209,5
"1501",14624798,1
