"UPC","n_weeks","avg_share_when_offered","DESCRIP","rank","cum_share","cum_share_norm"
1313000622,298,0.0174034048014422,"CREAM OF WHEAT INSTA",33,1.04480582714483,0.666005748791841
3000026289,30,0.0167823823818782,"QUAKER QK N HRTY BRW",34,1.06158820952671,0.676703586470732
3000001570,218,0.0167583551195357,"~QUAKER MAPLE OATMEA",35,1.07834656464624,0.687386108102915
1600064070,10,0.0167054690316422,"TOTAL OATMEAL MAPLE/",36,1.09505203367788,0.698034917788196
1313006057,279,0.0166593499786647,"INST CRM OF WHT-VARI",37,1.11171138365655,0.708654329135897
3000001580,115,0.0165979745538653,"QUAKER APPLE CINAMON",38,1.12830935821041,0.719234617055408
1600064060,11,0.0162103175309216,"TOTAL OATMEAL VARIET",39,1.14451967574134,0.729567795130073
3000026288,36,0.0153082653214505,"QUAKER QK N HEARTY R",40,1.15982794106279,0.739325964967216
4240000105,284,0.0152012411860374,"QUICK MALT O MEAL",41,1.17502918224882,0.749015912855752
1600064030,10,0.0145699859133805,"TOTAL QUICK OATMEAL-",42,1.1895991681622,0.758303470530124
1313006053,130,0.0143391181356158,"~MIX N EAT BROWN SUG",43,1.20393828629782,0.767443862804757
3000001370,57,0.0141870067384184,"QUAKER INST OAT-HONE",44,1.21812529303624,0.776487292502843
1313000602,261,0.0136591494951812,"NABISCO CREAM OF WHT",45,1.23178444253142,0.78519424249398
3000001820,262,0.0136512079557527,"QUAKER INSTANT STRAW",46,1.24543565048717,0.793896130194328
3000001760,262,0.0135758838473721,"QUAKER VRTY INST OAT",47,1.25901153433455,0.802550002954579
3000002350,238,0.0134058571616824,"KRETCHMER HONEY WHT",48,1.27241739149623,0.811095493135814
1600065450,7,0.0133465625966982,"TOTAL OATMEAL SWLR V",49,1.28576395409293,0.819603186321544
3000002390,97,0.0132723273341518,"~QUAKER MULTIGRAIN",50,1.29903628142708,0.828063558645986
1313006044,31,0.0131331640390135,"NABISCO INSTANT BANA",51,1.31216944546609,0.836435222090582
3000001000,44,0.0129108541324805,"QUAKER VARIETY OATCU",52,1.32508029959857,0.844665175303557
1313000698,262,0.0126255815144165,"NABISCO CREAM OF RIC",53,1.33770588111299,0.852713283049491
3000002620,159,0.0122813022889592,"$QUAKER KIDS CHOICE",54,1.34998718340195,0.860541931889868
1600062870,4,0.012254800164168,"UNDERCOVER BEARS STR",55,1.36224198356612,0.868353687096034
3000003790,102,0.0120203659091829,"QUAKER INSTANT GRITS",56,1.3742623494753,0.876016003471101
3000002300,72,0.0117753568514499,"~KIDS CHOICE STRWBRY",57,1.38603770632675,0.88352214016501
3000001590,43,0.0117263143626694,"QUAKER OAT CUPS RAIS",58,1.39776402068942,0.890997014993206
1600065460,4,0.0115470882260903,"OATMEAL SWIRLERS STR",59,1.40931110891551,0.898357643102832
3000002720,75,0.0114626690049641,"KRETCHMER TOASTED WH",60,1.42077377792047,0.905664458642583
3000026287,28,0.01102706358995,"QUAKER QUICK N HEART",61,1.43180084151042,0.912693599897728
3000026286,31,0.0106810050053547,"QUAKER COOKIE BLAST-",62,1.44248184651578,0.919502148004586
7382550019,16,0.0106196137979871,"FANTASTIC FDS APPLE",63,1.45310146031376,0.926271562622741
7382550022,25,0.00990120360908667,"FANTASTIC FOODS BANA",64,1.46300266392285,0.932583030602998
1313006024,28,0.00936315487831318,"~INSTANT CREAM OF WH",65,1.47236581880116,0.938551522368426
1313006031,92,0.00933369539683514,"CRM OF WHT INST APPL",66,1.481699514198,0.944501235348829
3000002380,12,0.00930549197979019,"QUAKER OATS FIBER RA",67,1.49100500617779,0.950432970215596
1112600399,37,0.00918268489045994,"COCO WHEATS PREPRICE",68,1.50018769106825,0.956286422376274
1313006058,78,0.00876575317794629,"~INS CREAM OF WHEAT-",69,1.50895344424619,0.961874103701671
1112600301,32,0.00809803729228299,"COCO WHEATS",70,1.51705148153848,0.967036153194953
7382550020,27,0.00762374501348116,"FFDS CRAN/OAT HOT CE",71,1.52467522655196,0.971895867674319
1112600328,74,0.00754004937703358,"COCO WHEATS",72,1.53221527592899,0.976702230828898
1600062890,3,0.00681897018530682,"UNDERCOVER BEAR VARI",73,1.5390342461143,0.981048946004353
1800063061,21,0.00667985229879603,"~PILLS FARINA APPLES",74,1.5457140984131,0.985306981245443
6414408037,38,0.00638572836029205,"MAYPO MAPLE FLAVORED",75,1.55209982677339,0.989377528793785
6414408004,11,0.0060155500035176,"WHEATENA",76,1.5581153767769,0.993212108177244
1600062880,3,0.00537693756918513,"UNDERCOVER BEARS MPL",77,1.56349231434609,0.996639607564147
1313006050,19,0.00527166260177357,"~CRM OF WHT INST GRA",78,1.56876397694786,1
