"r_id","r_gender","r_age","r_educ","r_income","r_party","r_strength","r_lean","profile","access","balcony","bar","boats","call","cars","cfloor","cfurniture","channels","chocolate","cinternet","closet","coffee","color","cview","decor","door","elevators","fan","flooring","food","hallway","hours","kitchen","lamps","lights","linens","menu","office","parking","pillows","scent","service","shower","sinks","size","theme","thermo","towels","tv","valet","windows"
"R_1pyhmPAGDFv1UAa",1,32,6,4,3,NA,-1,3,3,1,3,1,2,1,2,2,1,1,2,1,2,2,2,1,1,1,2,2,1,3,3,3,3,1,1,1,1,2,2,2,4,2,2,1,2,2,1,1,1,1
"R_1pYviaLGNhRn7JK",1,30,2,2,3,NA,0,1,2,2,3,1,1,2,3,2,2,2,1,1,1,4,2,1,2,2,1,1,1,3,2,2,1,2,1,1,1,3,3,1,4,2,2,1,1,2,1,1,2,2
"R_1pYviaLGNhRn7JK",1,30,2,2,3,NA,0,2,1,2,3,2,1,2,1,1,2,4,1,1,1,3,1,2,2,2,1,1,2,3,2,2,1,2,1,1,2,2,3,1,1,2,2,2,2,2,1,1,2,2
"R_1pYviaLGNhRn7JK",1,30,2,2,3,NA,0,3,1,1,3,1,1,2,1,1,2,4,2,1,1,4,2,2,2,1,1,1,1,3,2,2,1,2,1,1,2,3,3,1,1,2,2,2,1,2,1,1,2,2
"R_1pYvPGYlH1IwJi9",1,32,5,5,2,0,NA,1,3,1,3,2,1,1,3,1,1,2,1,1,1,4,1,2,3,1,1,2,2,1,2,2,2,1,1,1,2,1,2,3,4,2,2,2,2,2,1,1,1,1
"R_1pYvPGYlH1IwJi9",1,32,5,5,2,0,NA,2,3,1,3,2,1,2,1,2,3,2,2,1,1,4,1,2,3,1,1,2,2,1,3,2,2,1,1,1,1,1,2,1,4,3,2,1,1,2,1,1,1,1
"R_1pYvPGYlH1IwJi9",1,32,5,5,2,0,NA,3,3,2,3,2,1,2,3,2,3,2,2,1,2,4,1,2,3,1,1,2,2,1,2,2,2,1,1,1,2,1,2,2,4,3,2,1,1,2,1,1,1,1
"R_1pzflxvYp3rkefu",2,34,5,3,3,NA,1,1,1,2,2,2,1,2,2,1,1,4,1,2,1,4,1,1,1,1,1,1,1,1,1,2,2,2,3,2,2,3,3,3,4,1,2,3,3,2,2,2,2,1
"R_1pzflxvYp3rkefu",2,34,5,3,3,NA,1,2,1,1,3,2,2,2,2,2,1,2,1,2,2,1,1,2,1,1,1,1,1,3,1,2,2,2,3,2,2,3,3,1,4,3,2,1,2,2,2,1,2,1
"R_1pzflxvYp3rkefu",2,34,5,3,3,NA,1,3,1,1,3,2,2,2,2,2,1,2,1,1,2,1,1,2,1,1,1,1,1,3,1,2,2,2,3,2,1,3,3,2,4,3,2,1,2,2,2,1,2,1
"R_1PZYOy4VY5fAUzV",1,35,6,4,2,1,NA,1,1,1,3,2,2,3,1,1,1,2,1,2,1,1,1,2,1,2,1,1,1,1,1,3,2,2,2,2,2,2,2,1,3,1,2,2,3,3,2,1,1,1
"R_1PZYOy4VY5fAUzV",1,35,6,4,2,1,NA,2,3,1,3,1,1,1,2,1,1,1,1,2,1,4,2,2,2,2,2,1,2,3,1,3,2,2,1,1,1,1,4,3,1,3,2,2,3,1,1,1,1,1
"R_1PZYOy4VY5fAUzV",1,35,6,4,2,1,NA,3,3,2,3,2,2,3,2,1,1,2,2,2,1,1,1,2,2,1,1,1,1,1,1,3,2,2,2,2,1,2,4,1,4,1,2,2,3,3,2,1,1,2
"R_1q2J061sbMv7p1x",2,59,2,3,1,1,NA,1,1,1,2,2,2,3,1,2,1,4,2,1,1,1,1,1,1,1,2,1,1,1,2,2,1,2,3,1,2,3,2,1,4,1,2,3,2,3,1,1,2,2
"R_1q2J061sbMv7p1x",2,59,2,3,1,1,NA,2,2,1,2,1,2,3,2,1,1,1,2,2,1,3,2,2,1,1,2,1,1,3,3,2,3,1,1,2,2,2,2,1,4,3,2,2,2,2,2,1,1,2
"R_1q2J061sbMv7p1x",2,59,2,3,1,1,NA,3,2,1,2,1,2,3,2,2,1,4,1,2,1,1,2,2,1,1,2,1,1,3,3,2,3,2,1,1,2,2,2,1,4,3,2,1,2,2,1,1,1,2
"R_1Q3oyyr34H0QGPZ",1,30,6,3,1,0,NA,1,1,1,2,1,1,3,3,1,1,4,2,1,1,3,2,1,1,1,1,1,1,1,1,3,3,2,2,1,2,3,3,3,4,1,2,2,3,2,1,1,2,2
"R_1Q3oyyr34H0QGPZ",1,30,6,3,1,0,NA,2,2,2,2,1,1,3,1,2,1,1,2,1,1,3,2,1,1,1,1,1,1,1,1,3,3,2,2,1,2,3,3,1,4,1,2,1,3,2,2,1,1,2
"R_1Q3oyyr34H0QGPZ",1,30,6,3,1,0,NA,3,1,2,2,2,1,3,1,1,1,4,1,1,1,3,1,1,1,1,1,1,1,1,1,3,3,2,2,1,2,3,3,1,4,1,2,2,2,2,2,1,1,2
