n,seed,weight,method,iter,ip_total_s,ip_solve_s,gurobi_runtime_s
8,1,0.10,CG_IP,8,0.015211,0.014830,0.002271
8,1,0.10,CG_IP,9,0.015300,0.014921,0.002016
8,1,0.10,CG_IP,10,0.015420,0.015026,0.002161
8,1,0.10,CG_IP,11,0.015400,0.015011,0.002178
8,1,0.10,CG_IP,12,0.015394,0.014987,0.002011
8,1,0.10,CG_IP,13,0.015325,0.014931,0.002232
8,1,0.10,CG_IP,14,0.015476,0.015114,0.002275
8,1,0.10,CG_IP,15,0.015380,0.015011,0.002054
8,1,0.10,CG_IP,16,0.015281,0.014879,0.002230
8,1,0.10,CG_IP,17,0.015281,0.014925,0.002079
8,1,0.10,CG_IP,18,0.015328,0.014953,0.002612
8,1,0.10,CG_IP,19,0.015522,0.015151,0.002247
8,1,0.10,CG_IP,20,0.015271,0.014895,0.002270
8,1,0.10,CG_IP,21,0.014996,0.014613,0.002156
8,1,0.10,CG_IP,22,0.015299,0.014913,0.002063
8,1,0.10,CG_IP,23,0.015461,0.015063,0.002622
8,1,0.10,CG_IP,24,0.015327,0.014939,0.001680
8,1,0.10,CG_heur_IPverify,1,0.015641,0.015263,0.002696
8,1,0.10,CG_heur_IPverify,2,0.015416,0.014992,0.002670
8,1,0.10,CG_heur_IPverify,3,0.013946,0.013555,0.002315
8,1,0.10,CG_heur_IPverify,4,0.016298,0.015318,0.002660
8,1,0.10,CG_heur_IPverify,5,0.015605,0.015197,0.002220
8,1,0.10,CG_heur_IPverify,6,0.013027,0.012637,0.002494
8,1,0.10,CG_heur_IPverify,7,0.015798,0.015419,0.001601
8,1,0.00,CG_IP,1,0.015260,0.014894,0.001621
8,1,0.00,CG_IP,2,0.015902,0.015537,0.002117
8,1,0.00,CG_IP,3,0.015417,0.015043,0.002213
8,1,0.00,CG_IP,4,0.015474,0.015069,0.002817
8,1,0.00,CG_IP,5,0.015645,0.015235,0.002281
8,1,0.00,CG_IP,6,0.013939,0.013525,0.002179
8,1,0.00,CG_IP,7,0.014871,0.014434,0.002215
8,1,0.00,CG_IP,8,0.015531,0.015108,0.002089
8,1,0.00,CG_IP,9,0.014271,0.013861,0.003115
8,1,0.00,CG_IP,10,0.016523,0.016054,0.004094
8,1,0.00,CG_IP,11,0.015320,0.014935,0.002229
8,1,0.00,CG_IP,12,0.013015,0.012615,0.002437
8,1,0.00,CG_IP,13,0.015384,0.015006,0.002211
8,1,0.00,CG_IP,14,0.015407,0.015029,0.002170
8,1,0.00,CG_IP,15,0.015477,0.015085,0.002498
8,1,0.00,CG_IP,16,0.014316,0.013935,0.002336
8,1,0.00,CG_IP,17,0.015427,0.015043,0.002529
8,1,0.00,CG_IP,18,0.015301,0.014920,0.002364
8,1,0.00,CG_IP,19,0.015508,0.015129,0.002228
8,1,0.00,CG_IP,20,0.015134,0.014746,0.002189
8,1,0.00,CG_IP,21,0.015373,0.014989,0.002281
8,1,0.00,CG_IP,22,0.014882,0.014504,0.002349
8,1,0.00,CG_IP,23,0.015357,0.014989,0.001632
8,1,0.00,CG_heur_IPverify,1,0.016374,0.015892,0.002682
8,1,0.00,CG_heur_IPverify,2,0.015174,0.014797,0.002670
8,1,0.00,CG_heur_IPverify,3,0.016884,0.016035,0.002919
8,1,0.00,CG_heur_IPverify,4,0.015039,0.014651,0.002916
8,1,0.00,CG_heur_IPverify,5,0.015345,0.014956,0.002425
8,1,0.00,CG_heur_IPverify,6,0.015342,0.014962,0.002298
8,1,0.00,CG_heur_IPverify,7,0.015459,0.015080,0.002648
8,1,0.00,CG_heur_IPverify,8,0.015522,0.015111,0.002373
8,1,0.00,CG_heur_IPverify,9,0.015326,0.014913,0.001843
8,2,1.00,CG_IP,1,0.015415,0.015011,0.002204
8,2,1.00,CG_IP,2,0.014363,0.013917,0.002202
8,2,1.00,CG_IP,3,0.014418,0.014005,0.002140
8,2,1.00,CG_IP,4,0.014424,0.014006,0.002778
8,2,1.00,CG_IP,5,0.015186,0.014764,0.002167
8,2,1.00,CG_IP,6,0.013197,0.012823,0.002468
8,2,1.00,CG_IP,7,0.014426,0.014013,0.002356
8,2,1.00,CG_IP,8,0.014313,0.013911,0.002288
8,2,1.00,CG_IP,9,0.014284,0.013879,0.001906
8,2,1.00,CG_IP,10,0.015320,0.014903,0.002073
8,2,1.00,CG_IP,11,0.015299,0.014937,0.002045
8,2,1.00,CG_IP,12,0.015294,0.014920,0.002457
8,2,1.00,CG_IP,13,0.015213,0.014845,0.002159
8,2,1.00,CG_IP,14,0.015325,0.014968,0.002572
8,2,1.00,CG_IP,15,0.015438,0.015042,0.002257
8,2,1.00,CG_IP,16,0.015296,0.014930,0.002107
8,2,1.00,CG_IP,17,0.012906,0.012525,0.002378
8,2,1.00,CG_IP,18,0.014956,0.014588,0.002023
8,2,1.00,CG_IP,19,0.014975,0.014607,0.002178
8,2,1.00,CG_IP,20,0.015242,0.014864,0.002032
8,2,1.00,CG_IP,21,0.013367,0.012989,0.003694
8,2,1.00,CG_IP,22,0.015631,0.015240,0.002373
8,2,1.00,CG_IP,23,0.014346,0.013967,0.002151
8,2,1.00,CG_IP,24,0.015278,0.014925,0.002090
8,2,1.00,CG_heur_IPverify,1,0.020836,0.020025,0.004816
8,2,0.90,CG_IP,1,0.014842,0.014113,0.002991
8,2,0.90,CG_IP,2,0.014248,0.013865,0.003423
8,2,0.90,CG_IP,3,0.015536,0.015175,0.002689
8,2,0.90,CG_IP,4,0.015955,0.015563,0.002725
8,2,0.90,CG_IP,5,0.015560,0.015150,0.002264
8,2,0.90,CG_IP,6,0.015267,0.014880,0.003821
8,2,0.90,CG_IP,7,0.016691,0.016315,0.003657
8,2,0.90,CG_IP,8,0.014987,0.014586,0.002336
8,2,0.90,CG_IP,9,0.015255,0.014823,0.002531
8,2,0.90,CG_IP,10,0.015472,0.015042,0.002546
8,2,0.90,CG_IP,11,0.015226,0.014843,0.002221
8,2,0.90,CG_IP,12,0.015233,0.014855,0.002241
8,2,0.90,CG_IP,13,0.015333,0.014977,0.002284
8,2,0.90,CG_IP,14,0.015119,0.014707,0.002218
8,2,0.90,CG_IP,15,0.015342,0.014950,0.002204
8,2,0.90,CG_IP,16,0.015581,0.015198,0.002048
8,2,0.90,CG_IP,17,0.013141,0.012768,0.002186
8,2,0.90,CG_IP,18,0.015315,0.014930,0.002351
8,2,0.90,CG_IP,19,0.015374,0.014981,0.002059
8,2,0.90,CG_IP,20,0.015286,0.014908,0.003486
8,2,0.90,CG_IP,21,0.013750,0.013330,0.002636
8,2,0.90,CG_IP,22,0.015301,0.014925,0.002966
8,2,0.90,CG_IP,23,0.015349,0.014981,0.002263
8,2,0.90,CG_IP,24,0.015471,0.015110,0.002521
8,2,0.90,CG_IP,25,0.015372,0.014994,0.002082
8,2,0.90,CG_IP,26,0.015425,0.015018,0.002052
8,2,0.90,CG_IP,27,0.015821,0.015385,0.002229
8,2,0.90,CG_IP,28,0.014939,0.014508,0.002402
8,2,0.90,CG_IP,29,0.015352,0.014933,0.002284
8,2,0.90,CG_heur_IPverify,1,0.015250,0.014889,0.002178
8,2,0.80,CG_IP,1,0.015195,0.014839,0.002571
8,2,0.80,CG_IP,2,0.015449,0.015056,0.002300
8,2,0.80,CG_IP,3,0.014488,0.014113,0.002448
8,2,0.80,CG_IP,4,0.015388,0.015009,0.002156
8,2,0.80,CG_IP,5,0.014420,0.014002,0.002237
8,2,0.80,CG_IP,6,0.014367,0.013949,0.002228
8,2,0.80,CG_IP,7,0.013988,0.013548,0.002180
8,2,0.80,CG_IP,8,0.015363,0.014921,0.002110
8,2,0.80,CG_IP,9,0.013704,0.013305,0.002136
8,2,0.80,CG_IP,10,0.014123,0.013666,0.002197
8,2,0.80,CG_IP,11,0.014306,0.013885,0.002109
8,2,0.80,CG_IP,12,0.014226,0.013816,0.002209
8,2,0.80,CG_IP,13,0.014837,0.014432,0.005880
8,2,0.80,CG_IP,14,0.013705,0.013263,0.002264
8,2,0.80,CG_IP,15,0.014189,0.013745,0.002460
8,2,0.80,CG_IP,16,0.014565,0.014072,0.002180
8,2,0.80,CG_IP,17,0.013955,0.013539,0.002284
8,2,0.80,CG_IP,18,0.015281,0.014886,0.002091
8,2,0.80,CG_IP,19,0.015319,0.014925,0.002244
8,2,0.80,CG_IP,20,0.015257,0.014872,0.002338
8,2,0.80,CG_IP,21,0.013977,0.013585,0.002235
8,2,0.80,CG_IP,22,0.015255,0.014887,0.002598
8,2,0.80,CG_IP,23,0.015847,0.015074,0.002170
8,2,0.80,CG_IP,24,0.017337,0.016907,0.005248
8,2,0.80,CG_IP,25,0.015322,0.014947,0.002908
8,2,0.80,CG_IP,26,0.015692,0.015299,0.002198
8,2,0.80,CG_IP,27,0.015818,0.015418,0.002261
8,2,0.80,CG_IP,28,0.015571,0.015165,0.002089
8,2,0.80,CG_IP,29,0.014073,0.013694,0.002301
8,2,0.80,CG_IP,30,0.014867,0.014468,0.002003
8,2,0.80,CG_IP,31,0.015295,0.014912,0.002266
8,2,0.80,CG_heur_IPverify,1,0.014725,0.014312,0.002373
8,2,0.70,CG_IP,1,0.015324,0.014974,0.002152
8,2,0.70,CG_IP,2,0.015141,0.014743,0.002117
8,2,0.70,CG_IP,3,0.016024,0.015627,0.002585
8,2,0.70,CG_IP,4,0.015605,0.015046,0.002253
8,2,0.70,CG_IP,5,0.015433,0.015060,0.002302
8,2,0.70,CG_IP,6,0.015782,0.015380,0.002297
8,2,0.70,CG_IP,7,0.015278,0.014903,0.002368
8,2,0.70,CG_IP,8,0.012976,0.012593,0.002171
8,2,0.70,CG_IP,9,0.014507,0.014113,0.002172
8,2,0.70,CG_IP,10,0.014234,0.013837,0.002136
8,2,0.70,CG_IP,11,0.014402,0.014003,0.002195
8,2,0.70,CG_IP,12,0.015316,0.014922,0.002429
8,2,0.70,CG_IP,13,0.013426,0.012977,0.002571
8,2,0.70,CG_IP,14,0.014352,0.013937,0.002298
8,2,0.70,CG_IP,15,0.014336,0.013928,0.002335
8,2,0.70,CG_IP,16,0.013099,0.012734,0.002234
8,2,0.70,CG_IP,17,0.015333,0.014931,0.002232
8,2,0.70,CG_IP,18,0.014261,0.013879,0.002121
8,2,0.70,CG_IP,19,0.015449,0.015048,0.002052
8,2,0.70,CG_IP,20,0.015232,0.014859,0.002256
8,2,0.70,CG_IP,21,0.015232,0.014873,0.002173
8,2,0.70,CG_IP,22,0.015298,0.014914,0.002219
8,2,0.70,CG_IP,23,0.015272,0.014902,0.002376
8,2,0.70,CG_IP,24,0.015257,0.014894,0.002026
8,2,0.70,CG_IP,25,0.014276,0.013904,0.002243
8,2,0.70,CG_IP,26,0.015369,0.015009,0.002214
8,2,0.70,CG_IP,27,0.015364,0.014972,0.002547
8,2,0.70,CG_IP,28,0.015232,0.014851,0.002274
8,2,0.70,CG_IP,29,0.015396,0.015010,0.002907
8,2,0.70,CG_IP,30,0.015422,0.015047,0.002559
8,2,0.70,CG_IP,31,0.015483,0.015097,0.002323
8,2,0.70,CG_IP,32,0.015177,0.014795,0.002214
8,2,0.70,CG_IP,33,0.015567,0.015142,0.001629
8,2,0.70,CG_heur_IPverify,1,0.015362,0.014940,0.001670
8,2,0.60,CG_IP,1,0.013458,0.012672,0.002671
