n,seed,weight_inside,method,n_obs,n_menus,min_menu_size,max_menu_size,total_time_s,error,n_iters,n_ip_calls,ip_build_s,ip_total_s,ip_mean_s,ip_max_s,ip_solve_total_s,ip_solve_mean_s,ip_solve_max_s,ip_gurobi_total_s,status,hostname,cpu_model,n_logical_cores
8,3,0.9,CG_IP,56,28,2,2,0.432080375,4.06043552325966e-07,24,24,0.000611375,0.363906667,0.0151627777916667,0.016543666,0.353792751,0.014741364625,0.01613025,0.0629613399505615,ok,Haoges-iMac.local,Apple M1,8
8,3,0.9,CG_heur_IPverify,56,28,2,2,0.048493166,3.67480739224293e-14,15,1,0.000656166,0.015568458,0.015568458,0.015568458,0.015174833,0.015174833,0.015174833,0.00250506401062012,ok,Haoges-iMac.local,Apple M1,8
8,3,0.8,CG_IP,56,28,2,2,0.413901041,7.46923618133242e-07,22,22,0.000645666,0.34417008,0.0156440945454545,0.01834025,0.334636791,0.0152107632272727,0.017886459,0.0677406787872314,ok,Haoges-iMac.local,Apple M1,8
8,3,0.8,CG_heur_IPverify,56,28,2,2,0.046744667,1.87199450013713e-14,14,1,0.000786875,0.016034167,0.016034167,0.016034167,0.01564225,0.01564225,0.01564225,0.0028538703918457,ok,Haoges-iMac.local,Apple M1,8
8,3,0.7,CG_IP,56,28,2,2,0.4874775,3.16701854586857e-07,27,27,0.000651291,0.41026875,0.0151951388888889,0.01646875,0.399104045,0.0147816312962963,0.016091291,0.0802950859069824,ok,Haoges-iMac.local,Apple M1,8
8,3,0.7,CG_heur_IPverify,56,28,2,2,0.055209375,7.09764467388347e-09,16,1,0.000641625,0.015747959,0.015747959,0.015747959,0.015267875,0.015267875,0.015267875,0.00262594223022461,ok,Haoges-iMac.local,Apple M1,8
8,3,0.6,CG_IP,56,28,2,2,0.486793917,6.08535858700603e-07,26,26,0.000991625,0.403508001,0.0155195385,0.021151666,0.391230707,0.0150473348846154,0.020332541,0.0846941471099854,ok,Haoges-iMac.local,Apple M1,8
8,3,0.6,CG_heur_IPverify,56,28,2,2,0.058291917,1.23299700932499e-12,20,1,0.000901417,0.014417916,0.014417916,0.014417916,0.01391875,0.01391875,0.01391875,0.00253105163574219,ok,Haoges-iMac.local,Apple M1,8
8,3,0.5,CG_IP,56,28,2,2,0.624302458,0.000979164605403717,35,35,0.000610458,0.534976539,0.0152850439714286,0.01729775,0.518896752,0.0148256214857143,0.016612625,0.0889756679534912,ok,Haoges-iMac.local,Apple M1,8
8,3,0.5,CG_heur_IPverify,56,28,2,2,0.091618209,0.000979164610472358,22,3,0.000653166,0.046101251,0.0153670836666667,0.015407292,0.04494625,0.0149820833333333,0.015018583,0.00721263885498047,ok,Haoges-iMac.local,Apple M1,8
8,3,0.4,CG_IP,56,28,2,2,0.483462416,0.0394330686037119,28,28,0.000580625,0.416940211,0.0148907218214286,0.015561,0.406003541,0.0145001264642857,0.015147959,0.0611681938171387,ok,Haoges-iMac.local,Apple M1,8
8,3,0.4,CG_heur_IPverify,56,28,2,2,0.080193166,0.0394330688218702,16,3,0.000707834,0.046851542,0.0156171806666667,0.015901959,0.045668875,0.0152229583333333,0.015512708,0.00741267204284668,ok,Haoges-iMac.local,Apple M1,8
8,3,0.3,CG_IP,56,28,2,2,0.404814417,0.145313151329278,23,23,0.0006125,0.349433707,0.0151927698695652,0.017735625,0.338767791,0.0147290343913044,0.016460375,0.0555644035339355,ok,Haoges-iMac.local,Apple M1,8
8,3,0.3,CG_heur_IPverify,56,28,2,2,0.163743959,0.145312391667193,17,8,0.000748125,0.122093375,0.015261671875,0.015522209,0.1190095,0.0148761875,0.01512225,0.0210120677947998,ok,Haoges-iMac.local,Apple M1,8
8,3,0.2,CG_IP,56,28,2,2,0.382210041,0.333520386484868,22,22,0.000609792,0.329723248,0.0149874203636364,0.015847084,0.321064583,0.0145938446818182,0.015377584,0.0538690090179443,ok,Haoges-iMac.local,Apple M1,8
8,3,0.2,CG_heur_IPverify,56,28,2,2,0.128576834,0.333526902178077,16,6,0.000569875,0.093612082,0.0156020136666667,0.018630375,0.090512625,0.0150854375,0.017542375,0.013777494430542,ok,Haoges-iMac.local,Apple M1,8
8,3,0.1,CG_IP,56,28,2,2,0.368337167,0.613241921492252,21,21,0.000755667,0.317593332,0.015123492,0.016964625,0.307935081,0.0146635752857143,0.016455291,0.0525739192962646,ok,Haoges-iMac.local,Apple M1,8
8,3,0.1,CG_heur_IPverify,56,28,2,2,0.122472375,0.613239300609355,13,6,0.000619209,0.092036915,0.0153394858333333,0.015410208,0.08976179,0.0149602983333333,0.015030125,0.0129997730255127,ok,Haoges-iMac.local,Apple M1,8
8,3,0,CG_IP,56,28,2,2,0.405232,0.984944410180537,23,23,0.000577792,0.3509595,0.0152591086956522,0.015873166,0.342162706,0.0148766393913043,0.015497083,0.0545141696929932,ok,Haoges-iMac.local,Apple M1,8
8,3,0,CG_heur_IPverify,56,28,2,2,0.1049885,0.984926506599767,13,5,0.000589333,0.075318958,0.0150637916,0.015500333,0.073374375,0.014674875,0.0150965,0.0113627910614014,ok,Haoges-iMac.local,Apple M1,8
8,4,1,CG_IP,56,28,2,2,0.474784375,8.80503563910774e-07,27,27,0.001321167,0.408237875,0.0151199212962963,0.015754833,0.397528292,0.0147232700740741,0.015276834,0.0628852844238281,ok,Haoges-iMac.local,Apple M1,8
8,4,1,CG_heur_IPverify,56,28,2,2,0.052236125,5.26092098350528e-09,18,1,0.000610959,0.015497125,0.015497125,0.015497125,0.0150825,0.0150825,0.0150825,0.00234198570251465,ok,Haoges-iMac.local,Apple M1,8
8,4,0.9,CG_IP,56,28,2,2,0.502988583,9.12564490820922e-08,28,28,0.000573958,0.431996129,0.0154284331785714,0.016351375,0.418414876,0.0149433884285714,0.015502083,0.0698957443237305,ok,Haoges-iMac.local,Apple M1,8
8,4,0.9,CG_heur_IPverify,56,28,2,2,0.083033625,6.60979148459499e-09,17,1,0.000638416,0.015358875,0.015358875,0.015358875,0.01494075,0.01494075,0.01494075,0.0022270679473877,ok,Haoges-iMac.local,Apple M1,8
8,4,0.8,CG_IP,56,28,2,2,0.570562875,0.00314041873647906,31,31,0.000568625,0.479535213,0.0154688778387097,0.021353541,0.464341419,0.0149787554516129,0.020971375,0.0857646465301514,ok,Haoges-iMac.local,Apple M1,8
8,4,0.8,CG_heur_IPverify,56,28,2,2,0.09052425,0.00314041879091885,19,3,0.000665625,0.043825083,0.014608361,0.015415458,0.04266175,0.0142205833333333,0.015034916,0.00640606880187988,ok,Haoges-iMac.local,Apple M1,8
8,4,0.7,CG_IP,56,28,2,2,0.57163175,0.0140600711736113,32,32,0.00062875,0.490438501,0.01532620315625,0.017325375,0.472010872,0.01475033975,0.016413208,0.087918758392334,ok,Haoges-iMac.local,Apple M1,8
8,4,0.7,CG_heur_IPverify,56,28,2,2,0.056986833,0.0140600777946164,22,1,0.000596333,0.014217417,0.014217417,0.014217417,0.013816125,0.013816125,0.013816125,0.00173211097717285,ok,Haoges-iMac.local,Apple M1,8
8,4,0.6,CG_IP,56,28,2,2,0.559788375,0.0335199163245051,32,32,0.000618792,0.481165749,0.01503642965625,0.019786083,0.467719123,0.01461622259375,0.018940209,0.0779430866241455,ok,Haoges-iMac.local,Apple M1,8
8,4,0.6,CG_heur_IPverify,56,28,2,2,0.056441083,0.0335198923696469,17,1,0.00060875,0.016161834,0.016161834,0.016161834,0.0157975,0.0157975,0.0157975,0.00184106826782227,ok,Haoges-iMac.local,Apple M1,8
8,4,0.5,CG_IP,56,28,2,2,0.5108745,0.0628098765396231,29,29,0.000574041,0.442623915,0.0152628936206897,0.015631167,0.431546996,0.0148809308965517,0.015187541,0.066948413848877,ok,Haoges-iMac.local,Apple M1,8
8,4,0.5,CG_heur_IPverify,56,28,2,2,0.065728667,0.062809830625909,18,2,0.000600959,0.031012792,0.015506396,0.01552075,0.030223459,0.0151117295,0.015141292,0.0040440559387207,ok,Haoges-iMac.local,Apple M1,8
8,4,0.4,CG_IP,56,28,2,2,0.466800041,0.11015397644726,26,26,0.000594166,0.397938291,0.0153053188846154,0.020084542,0.387407499,0.0149002884230769,0.019373125,0.0646445751190186,ok,Haoges-iMac.local,Apple M1,8
8,4,0.4,CG_heur_IPverify,56,28,2,2,0.070859208,0.110157030126603,17,2,0.000597417,0.030210666,0.015105333,0.015328,0.029456626,0.014728313,0.014939667,0.0046989917755127,ok,Haoges-iMac.local,Apple M1,8
8,4,0.3,CG_IP,56,28,2,2,0.449251542,0.19055672740568,26,26,0.000547166,0.389539249,0.0149822788076923,0.015865042,0.37942825,0.0145933942307692,0.015485167,0.060650110244751,ok,Haoges-iMac.local,Apple M1,8
8,4,0.3,CG_heur_IPverify,56,28,2,2,0.057450791,0.190556727797518,13,2,0.000630583,0.031026792,0.015513396,0.015548125,0.030253874,0.015126937,0.015165291,0.00374603271484375,ok,Haoges-iMac.local,Apple M1,8
8,4,0.2,CG_IP,56,28,2,2,0.392989,0.305268783872761,22,22,0.000584666,0.336826417,0.0153102916818182,0.017833333,0.327533252,0.0148878750909091,0.017200708,0.0544209480285645,ok,Haoges-iMac.local,Apple M1,8
8,4,0.2,CG_heur_IPverify,56,28,2,2,0.091719291,0.305266618549945,15,4,0.000617791,0.061463333,0.01536583325,0.01552975,0.05988775,0.0149719375,0.015168292,0.00890207290649414,ok,Haoges-iMac.local,Apple M1,8
8,4,0.1,CG_IP,56,28,2,2,0.384390791,0.458858166897466,22,22,0.000602125,0.334386877,0.0151994035,0.015844583,0.32598925,0.0148176931818182,0.015474791,0.0523984432220459,ok,Haoges-iMac.local,Apple M1,8
8,4,0.1,CG_heur_IPverify,56,28,2,2,0.062154917,0.458857697611066,17,2,0.000638167,0.030785,0.0153925,0.015459708,0.030050084,0.015025042,0.015096625,0.00388598442077637,ok,Haoges-iMac.local,Apple M1,8
8,4,0,CG_IP,56,28,2,2,0.495416708,0.661367663187233,28,28,0.000590291,0.426985627,0.0152494866785714,0.018377,0.414449539,0.01480176925,0.015926667,0.0674817562103271,ok,Haoges-iMac.local,Apple M1,8
8,4,0,CG_heur_IPverify,56,28,2,2,0.071957042,0.661343500368012,15,3,0.000576042,0.044568334,0.0148561113333333,0.015404209,0.043452375,0.014484125,0.015048875,0.0065310001373291,ok,Haoges-iMac.local,Apple M1,8
8,5,1,CG_IP,56,28,2,2,0.473652875,9.21360221198161e-07,27,27,0.000655291,0.410065587,0.0151876143333333,0.015522875,0.400179123,0.014821449,0.01515075,0.0625042915344238,ok,Haoges-iMac.local,Apple M1,8
8,5,1,CG_heur_IPverify,56,28,2,2,0.047582,9.69330677950436e-07,18,1,0.00063325,0.015362,0.015362,0.015362,0.014989334,0.014989334,0.014989334,0.00227499008178711,ok,Haoges-iMac.local,Apple M1,8
8,5,0.9,CG_IP,56,28,2,2,0.494949375,1.6290068223517e-07,28,28,0.000597042,0.423683543,0.0151315551071429,0.016268583,0.413004414,0.0147501576428571,0.01590075,0.0690186023712158,ok,Haoges-iMac.local,Apple M1,8
8,5,0.9,CG_heur_IPverify,56,28,2,2,0.0613875,1.9977320113979e-07,22,1,0.0006635,0.013814208,0.013814208,0.013814208,0.013434041,0.013434041,0.013434041,0.00218796730041504,ok,Haoges-iMac.local,Apple M1,8
8,5,0.8,CG_IP,56,28,2,2,0.445000833,3.81249672404805e-07,26,26,0.000662375,0.384870374,0.0148027066923077,0.015673583,0.375008462,0.0144234023846154,0.015287709,0.0596401691436768,ok,Haoges-iMac.local,Apple M1,8
8,5,0.8,CG_heur_IPverify,56,28,2,2,0.063860417,2.49044070732881e-10,16,2,0.000619792,0.03127075,0.015635375,0.0159445,0.030482958,0.015241479,0.015531833,0.00501894950866699,ok,Haoges-iMac.local,Apple M1,8
8,5,0.7,CG_IP,56,28,2,2,0.466293458,4.68426052623219e-07,27,27,0.000717833,0.397141793,0.0147089552962963,0.019519916,0.384919415,0.0142562746296296,0.018732375,0.0632526874542236,ok,Haoges-iMac.local,Apple M1,8
8,5,0.7,CG_heur_IPverify,56,28,2,2,0.059151167,5.28129083051487e-07,20,1,0.000728792,0.013502417,0.013502417,0.013502417,0.013056125,0.013056125,0.013056125,0.00260090827941895,ok,Haoges-iMac.local,Apple M1,8
8,5,0.6,CG_IP,56,28,2,2,0.475660709,5.32601520558796e-07,27,27,0.0006305,0.407881542,0.0151067237777778,0.0159345,0.397541709,0.014723767,0.015290125,0.0631058216094971,ok,Haoges-iMac.local,Apple M1,8
8,5,0.6,CG_heur_IPverify,56,28,2,2,0.053490292,2.67776781157271e-10,19,1,0.00066025,0.015382875,0.015382875,0.015382875,0.015009417,0.015009417,0.015009417,0.00298404693603516,ok,Haoges-iMac.local,Apple M1,8
8,5,0.5,CG_IP,56,28,2,2,0.633922917,0.00255825995280964,36,36,0.0006245,0.546829833,0.0151897175833333,0.015503167,0.533446296,0.0148179526666667,0.015128292,0.0814023017883301,ok,Haoges-iMac.local,Apple M1,8
8,5,0.5,CG_heur_IPverify,56,28,2,2,0.069642333,0.00255826028796427,17,2,0.000641458,0.031133,0.0155665,0.015706625,0.030387417,0.0151937085,0.0153385,0.00401806831359863,ok,Haoges-iMac.local,Apple M1,8
8,5,0.4,CG_IP,56,28,2,2,0.477414708,0.0222884928436417,27,27,0.000626,0.408672665,0.0151360246296296,0.016045375,0.397903373,0.014737161962963,0.01565525,0.0651943683624268,ok,Haoges-iMac.local,Apple M1,8
8,5,0.4,CG_heur_IPverify,56,28,2,2,0.107053792,0.0222884963715801,20,4,0.000619791,0.059763292,0.014940823,0.015516958,0.058291623,0.01457290575,0.015160041,0.0105860233306885,ok,Haoges-iMac.local,Apple M1,8
8,5,0.3,CG_IP,56,28,2,2,0.485364333,0.0792210637239482,28,28,0.000602625,0.421343666,0.0150479880714286,0.015453042,0.410846125,0.0146730758928571,0.015091375,0.0627658367156982,ok,Haoges-iMac.local,Apple M1,8
8,5,0.3,CG_heur_IPverify,56,28,2,2,0.079202083,0.0792210325832073,18,3,0.00067625,0.045789751,0.0152632503333333,0.015293709,0.044648501,0.0148828336666667,0.014916792,0.00755739212036133,ok,Haoges-iMac.local,Apple M1,8
8,5,0.2,CG_IP,56,28,2,2,0.484116333,0.175731078597862,28,28,0.000733417,0.419735752,0.0149905625714286,0.018187625,0.407549709,0.01455534675,0.017319125,0.0675430297851562,ok,Haoges-iMac.local,Apple M1,8
8,5,0.2,CG_heur_IPverify,56,28,2,2,0.124184917,0.175731105754364,14,6,0.000645667,0.090575708,0.0150959513333333,0.015395458,0.088255166,0.0147091943333333,0.015006958,0.0126259326934814,ok,Haoges-iMac.local,Apple M1,8
8,5,0.1,CG_IP,56,28,2,2,0.430929959,0.317121119217266,24,24,0.000631833,0.371749958,0.0154895815833333,0.021434125,0.362533086,0.01510554525,0.020774625,0.0576496124267578,ok,Haoges-iMac.local,Apple M1,8
8,5,0.1,CG_heur_IPverify,56,28,2,2,0.143984416,0.317116649912929,16,7,0.000745958,0.106538793,0.0152198275714286,0.015800459,0.103839208,0.0148341725714286,0.015405708,0.0163328647613525,ok,Haoges-iMac.local,Apple M1,8
8,5,0,CG_IP,56,28,2,2,0.401724542,0.508099515861352,23,23,0.000565208,0.348866166,0.015168094173913,0.015711959,0.340296332,0.0147954926956522,0.015324625,0.0527815818786621,ok,Haoges-iMac.local,Apple M1,8
8,5,0,CG_heur_IPverify,56,28,2,2,0.124687042,0.508046683960715,13,6,0.000579625,0.092536167,0.0154226945,0.015765792,0.090237917,0.0150396528333333,0.015398209,0.0133950710296631,ok,Haoges-iMac.local,Apple M1,8
